                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59083,                0.90014,                0.88285,                0.95655,                0.97554,                  0.995,                0.87238,                0.65659,                0.83404,                0.85669,             0.00014847,             0.00014847,             0.00014847
                     37,                0.55072,                 0.8558,                0.88521,                0.95891,                0.97962,                  0.995,                0.87849,                0.62429,                0.84053,                0.84594,             0.00014443,             0.00014443,             0.00014443
                     38,                0.56369,                0.86154,                0.88542,                0.96825,                0.97782,                  0.995,                0.86677,                0.67056,                0.83932,                0.85301,             0.00014039,             0.00014039,             0.00014039
                     39,                0.55797,                0.84531,                0.88272,                 0.9624,                0.98771,                  0.995,                0.86776,                0.69855,                0.82033,                0.85741,             0.00013634,             0.00013634,             0.00013634
                     40,                0.55222,                0.82795,                0.88296,                0.95086,                0.99082,                  0.995,                0.88277,                0.65974,                 0.8045,                0.85054,              0.0001323,              0.0001323,              0.0001323
                     41,                0.54415,                0.82498,                0.87364,                0.95754,                0.97507,                  0.995,                 0.8756,                0.63897,                0.79776,                0.85833,             0.00012825,             0.00012825,             0.00012825
                     42,                 0.5446,                 0.8249,                 0.8708,                0.96663,                0.98392,                  0.995,                0.87447,                0.65422,                0.78061,                0.86024,             0.00012421,             0.00012421,             0.00012421
                     43,                0.52902,                0.76992,                0.86821,                0.96346,                      1,                  0.995,                0.88101,                0.66359,                0.77327,                0.85184,             0.00012016,             0.00012016,             0.00012016
                     44,                0.54728,                0.78973,                0.87318,                0.94283,                      1,                  0.995,                0.87577,                0.68441,                 0.7696,                0.85787,             0.00011612,             0.00011612,             0.00011612
                     45,                0.53046,                 0.7785,                0.86493,                 0.9556,                0.99153,                 0.9895,                0.87105,                0.66234,                0.75404,                0.85647,             0.00011207,             0.00011207,             0.00011207
                     46,                0.51963,                0.75093,                0.87018,                0.96295,                0.99693,                  0.995,                0.87973,                0.67062,                0.76102,                 0.8594,             0.00010803,             0.00010803,             0.00010803
                     47,                0.52863,                0.76766,                0.86024,                0.96306,                  0.998,                  0.995,                0.88774,                0.65974,                0.74148,                0.86258,             0.00010398,             0.00010398,             0.00010398
                     48,                0.52394,                0.75943,                  0.866,                0.96974,                      1,                  0.995,                0.88697,                0.62994,                0.72898,                0.84128,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     49,                0.52984,                0.75343,                0.86661,                0.96096,                      1,                  0.995,                0.88939,                0.62982,                0.71372,                0.84833,             9.5892e-05,             9.5892e-05,             9.5892e-05
                     50,                0.53493,                0.73582,                0.87685,                0.96605,                0.99654,                  0.995,                0.88317,                0.65301,                 0.7269,                0.84929,             9.1847e-05,             9.1847e-05,             9.1847e-05
                     51,                0.51623,                0.73718,                0.86792,                0.97693,                0.99311,                  0.995,                0.88485,                0.62457,                0.69783,                0.84502,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     52,                0.50646,                0.72689,                0.85589,                0.95093,                      1,                  0.995,                0.88408,                0.64924,                0.71176,                0.84583,             8.3757e-05,             8.3757e-05,             8.3757e-05
                     53,                0.52026,                0.72371,                0.86017,                0.95968,                      1,                  0.995,                0.87446,                0.67082,                0.70952,                0.85228,             7.9712e-05,             7.9712e-05,             7.9712e-05
                     54,                0.50575,                0.72529,                0.86693,                0.94168,                      1,                  0.995,                0.88383,                0.64775,                0.69873,                0.84281,             7.5667e-05,             7.5667e-05,             7.5667e-05
                     55,                0.50205,                0.70539,                0.86212,                0.97001,                 0.9989,                  0.995,                0.88416,                0.66099,                0.70515,                0.84816,             7.1623e-05,             7.1623e-05,             7.1623e-05
